"","screen_name","location","created_at","followers","age_days","lon","lat"
"1","RLadiesSF","San Francisco","2012-10-15",916,1672.91666666667,-122.4194155,37.7749295
"2","RLadiesNYC","New York","2016-09-01",309,255.875,-74.0059413,40.7127837
"3","RLadiesIstanbul","İstanbul, Türkiye","2016-09-06",436,250.875,28.9783589,41.0082376
"4","RLadiesBCN","Barcelona, Spain","2016-10-11",377,215.875,2.1734035,41.3850639
"5","RLadiesColumbus","Columbus, OH","2016-10-04",179,222.875,-82.9987942,39.9611755
"6","RLadiesBoston","Boston, MA","2016-09-06",259,250.875,-71.0588801,42.3600825
"7","RLadiesLA","Los Angeles, CA","2016-08-29",320,258.875,-118.2436849,34.0522342
"8","RLadiesLondon","London, England","2016-04-20",1154,389.875,-0.1277583,51.5073509
"9","RLadiesAU","Melbourne, Victoria","2016-09-02",415,254.875,144.9630576,-37.8136276
"10","RLadiesParis","Paris, France","2016-09-19",253,237.875,2.3522219,48.856614
"11","RLadiesLx","Lisbon","2016-10-26",199,200.875,-9.1393366,38.7222524
"12","RLadiesBerlin","Berlin, Deutschland","2016-10-03",202,223.875,13.404954,52.5200066
"13","RLadiesRTP","Durham, NC","2016-06-28",220,320.875,-78.898619,35.9940329
"14","RLadiesCT","Connecticut, USA","2016-11-24",141,171.875,-73.087749,41.6032207
"15","RLadiesValencia","Valencia, España","2016-11-13",151,182.875,-0.3762881,39.4699075
"16","RLadiesNash","Nashville, TN","2016-09-28",182,228.875,-86.7816016,36.1626638
"17","RLadiesAustin","Austin, TX","2016-12-15",113,150.875,-97.7430608,30.267153
"18","RLadiesAmes","Ames, IA","2016-11-30",130,165.875,-93.6319131,42.0307812
"19","RLadiesDC","Washington, DC","2016-12-08",128,157.875,-77.0368707,38.9071923
"20","RLadiesBA","Buenos Aires, Argentina","2017-01-05",217,129.875,-58.3815591,-34.6036844
"21","RLadiesLdnOnt","London, Ontario","2017-01-19",92,115.875,-81.2452768,42.9849233
"22","RLadiesManchest","Manchester, England","2016-10-08",137,218.875,-2.2426305,53.4807593
"23","RLadiesDublin","Dublin City, Ireland","2017-01-21",84,113.875,-6.2603097,53.3498053
"24","RLadiesLima","Lima, Peru","2016-10-08",54,218.875,-77.042754,-12.0463731
"25","RLadiesTbilisi","Tbilisi","2016-11-29",100,166.875,44.827096,41.7151377
"26","RLadiesAdelaide","Adelaide, South Australia","2017-02-20",58,83.875,138.6007456,-34.9284989
"27","RLadiesMunich","Munich, Bavaria","2017-03-21",58,54.875,11.5819806,48.1351253
"28","RLadiesSR","Santa Rosa, Argentina","2017-04-06",33,38.875,-64.2912369,-36.620922
"29","RLadiesMAD","Madrid, Spain","2016-09-03",473,253.875,-3.7037902,40.4167754
"30","RLadiesTC","Twin Cities","2015-04-04",86,771.875,-93.2009998,44.9374831
"31","RLadiesBudapest","Budapest, Magyarország","2017-01-23",73,111.875,19.040235,47.497912
"32","RLadiesIzmir","Izmir, Turkey","2016-10-19",88,207.875,27.142826,38.423734
"33","RLadiesCapeTown","Cape Town, South Africa","2017-03-06",54,69.875,18.4240553,-33.9248685
"34","RLadiesRio","Rio de Janeiro, Brazil","2017-01-15",32,119.875,-43.1728965,-22.9068467
"35","RLadiesMTL","Montreal","2017-04-13",1,31.875,-73.567256,45.5016889
"36","RLadiesSeattle","Seattle","2017-05-06",0,8.875,-122.3320708,47.6062095
"37","RLadiesTaipei","Taipei","2014-11-15",347,911.916666666667,121.5654177,25.0329694
"38","RLadiesWarsaw","Warsaw","2016-11-15",80,180.875,21.0122287,52.2296756
