year,temp_anomaly,land_anomaly,ocean_anomaly,carbon_emissions
1880,-0.11,-0.48,-0.01,236
1881,-0.08,-0.4,0.01,243
1882,-0.1,-0.48,0,256
1883,-0.18,-0.66,-0.04,272
1884,-0.26,-0.69,-0.14,275
1885,-0.25,-0.56,-0.17,277
1886,-0.24,-0.51,-0.17,281
1887,-0.28,-0.47,-0.23,295
1888,-0.13,-0.41,-0.05,327
1889,-0.09,-0.31,-0.02,327
1890,-0.34,-0.51,-0.29,356
1891,-0.25,-0.52,-0.15,372
1892,-0.3,-0.49,-0.23,374
1893,-0.32,-0.54,-0.24,370
1894,-0.3,-0.38,-0.27,383
1895,-0.23,-0.39,-0.17,406
1896,-0.09,-0.33,0,419
1897,-0.09,-0.26,-0.03,440
1898,-0.26,-0.37,-0.22,465
1899,-0.15,-0.21,-0.13,507
1900,-0.07,-0.15,-0.05,534
1901,-0.15,-0.12,-0.16,552
1902,-0.25,-0.26,-0.24,566
1903,-0.37,-0.37,-0.37,617
1904,-0.45,-0.44,-0.46,624
1905,-0.27,-0.33,-0.25,663
1906,-0.21,-0.17,-0.22,707
1907,-0.38,-0.62,-0.29,784
1908,-0.43,-0.44,-0.43,750
1909,-0.44,-0.43,-0.45,785
1910,-0.4,-0.36,-0.42,819
1911,-0.44,-0.48,-0.43,836
1912,-0.34,-0.48,-0.28,879
1913,-0.32,-0.31,-0.32,943
1914,-0.14,-0.06,-0.17,850
1915,-0.09,-0.08,-0.1,838
1916,-0.32,-0.46,-0.26,901
1917,-0.4,-0.63,-0.29,955
1918,-0.3,-0.5,-0.21,936
1919,-0.25,-0.33,-0.21,806
1920,-0.23,-0.36,-0.18,932
1921,-0.16,-0.15,-0.17,803
1922,-0.25,-0.27,-0.24,845
1923,-0.25,-0.29,-0.24,970
1924,-0.24,-0.25,-0.24,963
1925,-0.18,-0.15,-0.19,975
1926,-0.07,-0.02,-0.1,983
1927,-0.17,-0.22,-0.16,1062
1928,-0.18,-0.15,-0.2,1065
1929,-0.33,-0.49,-0.27,1145
1930,-0.11,-0.13,-0.11,1053
1931,-0.06,-0.02,-0.08,940
1932,-0.13,-0.03,-0.17,847
1933,-0.26,-0.36,-0.22,893
1934,-0.11,-0.06,-0.13,973
1935,-0.16,-0.17,-0.15,1027
1936,-0.12,-0.12,-0.12,1130
1937,-0.01,-0.02,-0.01,1209
1938,-0.02,0.17,-0.1,1142
1939,0.01,0.1,-0.03,1192
1940,0.16,0.07,0.2,1299
1941,0.27,0.1,0.35,1334
1942,0.11,0.06,0.13,1342
1943,0.11,0.07,0.12,1391
1944,0.28,0.19,0.32,1383
1945,0.18,-0.07,0.3,1160
1946,-0.01,-0.01,-0.01,1238
1947,-0.04,0.04,-0.07,1392
1948,-0.05,0.05,-0.1,1469
1949,-0.07,-0.07,-0.08,1419
1950,-0.15,-0.32,-0.09,1630
1951,0,-0.06,0.02,1767
1952,0.05,-0.05,0.08,1795
1953,0.13,0.2,0.1,1841
1954,-0.1,-0.12,-0.09,1865
1955,-0.13,-0.11,-0.13,2042
1956,-0.18,-0.4,-0.1,2177
1957,0.07,-0.04,0.11,2270
1958,0.13,0.15,0.12,2330
1959,0.08,0.09,0.08,2454
1960,0.05,0,0.07,2569
1961,0.1,0.12,0.09,2580
1962,0.11,0.16,0.09,2686
1963,0.12,0.21,0.08,2833
1964,-0.14,-0.22,-0.11,2995
1965,-0.07,-0.12,-0.05,3130
1966,-0.01,-0.05,0.01,3288
1967,0,0.01,-0.01,3393
1968,-0.03,-0.11,0.01,3566
1969,0.11,-0.08,0.17,3780
1970,0.06,0.05,0.06,4053
1971,-0.07,-0.02,-0.09,4208
1972,0.04,-0.17,0.11,4376
1973,0.19,0.34,0.14,4614
1974,-0.06,-0.18,-0.02,4623
1975,0.01,0.14,-0.04,4596
1976,-0.07,-0.23,-0.01,4864
1977,0.21,0.25,0.19,5016
1978,0.12,0.1,0.12,5074
1979,0.23,0.17,0.24,5357
1980,0.28,0.31,0.26,5301
1981,0.32,0.52,0.25,5138
1982,0.19,0.11,0.22,5094
1983,0.36,0.5,0.3,5075
1984,0.17,0.06,0.2,5258
1985,0.16,0.1,0.18,5417
1986,0.23,0.3,0.21,5583
1987,0.38,0.45,0.36,5725
1988,0.39,0.58,0.32,5936
1989,0.29,0.36,0.27,6066
1990,0.45,0.66,0.37,6074
1991,0.39,0.53,0.34,6142
1992,0.24,0.24,0.23,6078
1993,0.28,0.35,0.25,6070
1994,0.34,0.48,0.29,6174
1995,0.47,0.78,0.35,6305
1996,0.32,0.35,0.31,6448
1997,0.51,0.64,0.46,6556
1998,0.65,0.98,0.52,6576
1999,0.44,0.78,0.31,6561
2000,0.42,0.62,0.34,6733
2001,0.57,0.84,0.46,6893
2002,0.62,0.95,0.49,6994
2003,0.63,0.94,0.52,7376
2004,0.58,0.81,0.49,7743
2005,0.66,1.08,0.5,8042
2006,0.63,0.97,0.5,8336
2007,0.61,1.12,0.43,8503
2008,0.54,0.89,0.41,8776
2009,0.64,0.9,0.54,8697
2010,0.72,1.14,0.56,9128
2011,0.57,0.91,0.44,9503
2012,0.63,0.95,0.51,9673
2013,0.67,1.03,0.53,9773
2014,0.73,1.01,0.63,9855
